candidat_id,nom_prenom,metier_principal,statut,experience_annees
CAND-1457,Candidat 458,Consultant BI as Code,En mission,16
CAND-1458,Candidat 459,Directeur Transition,Disponible,8
CAND-1459,Candidat 460,Consultant BI as Code,Disponible,14
CAND-1460,Candidat 461,Analytics Engineer,En mission,14
CAND-1461,Candidat 462,Consultant PowerBI / Tableau,En mission,12
CAND-1462,Candidat 463,Chef de Projet IA,En mission,5
CAND-1463,Candidat 464,Ingénieur Qualité,En entretien,17
CAND-1464,Candidat 465,Consultant BI as Code,Disponible,3
CAND-1465,Candidat 466,Directeur Transition,En mission,16
CAND-1466,Candidat 467,Chef de Projet IA,Disponible,15
CAND-1467,Candidat 468,Consultant BI as Code,Disponible,5
CAND-1468,Candidat 469,Consultant BI as Code,En mission,7
CAND-1469,Candidat 470,Consultant BI as Code,En entretien,12
CAND-1470,Candidat 471,Ingénieur Qualité,En mission,12
CAND-1471,Candidat 472,Consultant PowerBI / Tableau,En mission,4
CAND-1472,Candidat 473,Ingénieur Qualité,En mission,2
CAND-1473,Candidat 474,Data Engineer,En mission,15
CAND-1474,Candidat 475,Chef de Projet IA,En mission,13
CAND-1475,Candidat 476,Consultant PowerBI / Tableau,Disponible,9
CAND-1476,Candidat 477,Consultant PowerBI / Tableau,En mission,13
CAND-1477,Candidat 478,Consultant PowerBI / Tableau,Disponible,14
CAND-1478,Candidat 479,Directeur Transition,En mission,6
CAND-1479,Candidat 480,Consultant PowerBI / Tableau,En mission,16
CAND-1480,Candidat 481,Ingénieur Qualité,En mission,17
CAND-1481,Candidat 482,Consultant PowerBI / Tableau,En mission,6
CAND-1482,Candidat 483,Analytics Engineer,Disponible,12
CAND-1483,Candidat 484,Chef de Projet IA,En mission,5
CAND-1484,Candidat 485,Consultant PowerBI / Tableau,En mission,7
CAND-1485,Candidat 486,Chef de Projet IA,En mission,4
CAND-1486,Candidat 487,Analytics Engineer,Disponible,10
CAND-1487,Candidat 488,Analytics Engineer,En entretien,6
CAND-1488,Candidat 489,Chef de Projet IA,Disponible,4
CAND-1489,Candidat 490,Consultant BI as Code,En mission,12
CAND-1490,Candidat 491,Data Engineer,En mission,2
CAND-1491,Candidat 492,Directeur Transition,En mission,11
CAND-1492,Candidat 493,Consultant BI as Code,En mission,13
CAND-1493,Candidat 494,Consultant BI as Code,En mission,7
CAND-1494,Candidat 495,Ingénieur Qualité,En mission,16
CAND-1495,Candidat 496,Directeur Transition,En mission,3
CAND-1496,Candidat 497,Directeur Transition,En mission,14
CAND-1497,Candidat 498,Consultant BI as Code,Disponible,4
CAND-1498,Candidat 499,Consultant PowerBI / Tableau,En mission,17
CAND-1499,Candidat 500,Ingénieur Qualité,En mission,2
