opportunity_id,agence_id,nom_compte_prospect,date_creation,etape_pipeline,valeur_estimee_ca,probabilite_pct
OPP-1314,AG-11,Prospect Tech-315,2025-03-15,Gagnée (Signée),75000.0,100
OPP-1315,AG-12,Prospect Industrie-316,2024-03-19,Lead Qualifié,30000.0,50
OPP-1316,AG-18,Prospect Tech-317,2025-09-13,Négociation,30000.0,50
OPP-1317,AG-09,Prospect Tech-318,2024-07-27,Proposition Envoyée,30000.0,50
OPP-1318,AG-06,Prospect Tech-319,2024-12-08,Perdue,30000.0,0
OPP-1319,AG-19,Prospect Services-320,2024-09-22,Lead Qualifié,75000.0,75
OPP-1320,AG-01,Prospect Services-321,2024-09-07,Proposition Envoyée,75000.0,50
OPP-1321,AG-04,Prospect Services-322,2025-11-20,Lead Qualifié,30000.0,25
OPP-1322,AG-17,Prospect Services-323,2026-03-07,Gagnée (Signée),150000.0,100
OPP-1323,AG-10,Prospect Industrie-324,2025-11-22,Proposition Envoyée,15000.0,50
OPP-1324,AG-19,Prospect Services-325,2025-09-13,Gagnée (Signée),150000.0,100
OPP-1325,AG-01,Prospect Services-326,2024-08-25,Proposition Envoyée,30000.0,75
OPP-1326,AG-08,Prospect Tech-327,2025-03-28,Proposition Envoyée,30000.0,25
OPP-1327,AG-21,Prospect Services-328,2024-07-17,Proposition Envoyée,30000.0,75
OPP-1328,AG-01,Prospect Tech-329,2024-04-16,Perdue,15000.0,0
OPP-1329,AG-15,Prospect Tech-330,2026-04-16,Proposition Envoyée,300000.0,25
OPP-1330,AG-16,Prospect Services-331,2026-01-01,Lead Qualifié,30000.0,75
OPP-1331,AG-05,Prospect Industrie-332,2024-01-25,Proposition Envoyée,30000.0,25
OPP-1332,AG-01,Prospect Industrie-333,2025-05-01,Lead Qualifié,30000.0,25
OPP-1333,AG-15,Prospect Services-334,2025-02-10,Perdue,150000.0,0
OPP-1334,AG-04,Prospect Industrie-335,2026-02-28,Négociation,15000.0,50
OPP-1335,AG-12,Prospect Industrie-336,2024-06-18,Lead Qualifié,150000.0,50
OPP-1336,AG-18,Prospect Industrie-337,2025-06-30,Négociation,15000.0,25
OPP-1337,AG-17,Prospect Tech-338,2026-06-05,Gagnée (Signée),15000.0,100
OPP-1338,AG-14,Prospect Tech-339,2025-11-19,Lead Qualifié,150000.0,50
OPP-1339,AG-19,Prospect Industrie-340,2025-10-09,Négociation,75000.0,75
OPP-1340,AG-01,Prospect Tech-341,2024-04-19,Proposition Envoyée,15000.0,25
OPP-1341,AG-15,Prospect Services-342,2025-11-18,Gagnée (Signée),30000.0,100
OPP-1342,AG-16,Prospect Tech-343,2024-07-08,Proposition Envoyée,30000.0,75
OPP-1343,AG-11,Prospect Tech-344,2025-01-23,Proposition Envoyée,30000.0,25
OPP-1344,AG-11,Prospect Tech-345,2025-12-11,Lead Qualifié,30000.0,25
OPP-1345,AG-07,Prospect Industrie-346,2024-07-25,Lead Qualifié,15000.0,25
OPP-1346,AG-19,Prospect Services-347,2024-11-13,Perdue,30000.0,0
OPP-1347,AG-17,Prospect Industrie-348,2026-05-12,Proposition Envoyée,15000.0,75
OPP-1348,AG-03,Prospect Services-349,2025-07-26,Proposition Envoyée,75000.0,50
OPP-1349,AG-19,Prospect Industrie-350,2026-05-08,Négociation,15000.0,75
OPP-1350,AG-15,Prospect Services-351,2024-10-25,Perdue,30000.0,0
OPP-1351,AG-12,Prospect Industrie-352,2025-06-11,Lead Qualifié,30000.0,25
OPP-1352,AG-18,Prospect Services-353,2026-06-14,Proposition Envoyée,15000.0,50
OPP-1353,AG-05,Prospect Industrie-354,2026-03-06,Proposition Envoyée,15000.0,25
OPP-1354,AG-19,Prospect Services-355,2024-10-26,Perdue,15000.0,0
OPP-1355,AG-06,Prospect Services-356,2024-02-03,Perdue,30000.0,0
OPP-1356,AG-20,Prospect Tech-357,2024-10-30,Lead Qualifié,150000.0,75
OPP-1357,AG-21,Prospect Services-358,2026-06-20,Négociation,30000.0,75
OPP-1358,AG-02,Prospect Services-359,2024-11-05,Proposition Envoyée,150000.0,25
OPP-1359,AG-18,Prospect Tech-360,2025-11-25,Négociation,300000.0,25
OPP-1360,AG-10,Prospect Industrie-361,2025-07-22,Négociation,300000.0,75
OPP-1361,AG-06,Prospect Services-362,2024-06-08,Négociation,15000.0,25
OPP-1362,AG-16,Prospect Services-363,2025-11-23,Gagnée (Signée),30000.0,100
OPP-1363,AG-03,Prospect Services-364,2024-04-28,Gagnée (Signée),30000.0,100
OPP-1364,AG-11,Prospect Services-365,2025-03-30,Perdue,30000.0,0
OPP-1365,AG-22,Prospect Tech-366,2024-12-18,Lead Qualifié,30000.0,75
OPP-1366,AG-18,Prospect Tech-367,2024-10-13,Gagnée (Signée),15000.0,100
OPP-1367,AG-04,Prospect Industrie-368,2024-08-15,Gagnée (Signée),150000.0,100
OPP-1368,AG-16,Prospect Tech-369,2024-06-09,Lead Qualifié,300000.0,75
OPP-1369,AG-13,Prospect Industrie-370,2024-09-14,Perdue,300000.0,0
OPP-1370,AG-15,Prospect Industrie-371,2025-04-01,Proposition Envoyée,75000.0,75
OPP-1371,AG-11,Prospect Industrie-372,2026-07-13,Lead Qualifié,15000.0,75
OPP-1372,AG-22,Prospect Tech-373,2025-06-02,Proposition Envoyée,75000.0,75
OPP-1373,AG-16,Prospect Tech-374,2026-06-25,Proposition Envoyée,150000.0,50
OPP-1374,AG-16,Prospect Industrie-375,2024-07-22,Gagnée (Signée),150000.0,100
OPP-1375,AG-18,Prospect Industrie-376,2024-02-25,Proposition Envoyée,30000.0,25
OPP-1376,AG-09,Prospect Tech-377,2024-05-29,Négociation,15000.0,25
OPP-1377,AG-12,Prospect Services-378,2025-02-13,Gagnée (Signée),300000.0,100
OPP-1378,AG-06,Prospect Tech-379,2024-01-27,Proposition Envoyée,150000.0,75
OPP-1379,AG-17,Prospect Services-380,2024-05-07,Proposition Envoyée,150000.0,25
OPP-1380,AG-06,Prospect Services-381,2025-11-03,Négociation,75000.0,25
OPP-1381,AG-06,Prospect Tech-382,2024-02-03,Négociation,15000.0,50
OPP-1382,AG-09,Prospect Industrie-383,2025-10-17,Lead Qualifié,150000.0,75
OPP-1383,AG-08,Prospect Tech-384,2024-09-30,Perdue,15000.0,0
OPP-1384,AG-08,Prospect Tech-385,2026-02-22,Proposition Envoyée,30000.0,25
OPP-1385,AG-21,Prospect Industrie-386,2025-05-05,Proposition Envoyée,75000.0,50
OPP-1386,AG-20,Prospect Services-387,2025-04-18,Gagnée (Signée),75000.0,100
OPP-1387,AG-22,Prospect Industrie-388,2024-01-06,Négociation,30000.0,25
OPP-1388,AG-17,Prospect Services-389,2024-12-02,Gagnée (Signée),75000.0,100
OPP-1389,AG-16,Prospect Industrie-390,2025-04-12,Proposition Envoyée,15000.0,75
OPP-1390,AG-18,Prospect Industrie-391,2024-07-27,Lead Qualifié,15000.0,75
OPP-1391,AG-21,Prospect Industrie-392,2026-05-26,Proposition Envoyée,30000.0,50
OPP-1392,AG-03,Prospect Tech-393,2026-06-19,Gagnée (Signée),15000.0,100
OPP-1393,AG-15,Prospect Services-394,2024-04-18,Gagnée (Signée),15000.0,100
OPP-1394,AG-18,Prospect Industrie-395,2024-01-31,Négociation,75000.0,50
OPP-1395,AG-10,Prospect Services-396,2025-10-20,Proposition Envoyée,15000.0,75
OPP-1396,AG-13,Prospect Industrie-397,2025-05-30,Perdue,75000.0,0
OPP-1397,AG-22,Prospect Industrie-398,2025-07-21,Proposition Envoyée,150000.0,25
OPP-1398,AG-11,Prospect Services-399,2024-10-26,Gagnée (Signée),30000.0,100
OPP-1399,AG-06,Prospect Tech-400,2025-05-23,Gagnée (Signée),30000.0,100
OPP-1400,AG-02,Prospect Services-401,2026-03-10,Perdue,75000.0,0
OPP-1401,AG-21,Prospect Industrie-402,2024-10-28,Perdue,15000.0,0
OPP-1402,AG-22,Prospect Tech-403,2024-01-20,Négociation,75000.0,50
OPP-1403,AG-18,Prospect Industrie-404,2025-05-14,Négociation,30000.0,25
OPP-1404,AG-16,Prospect Industrie-405,2024-06-16,Lead Qualifié,150000.0,25
OPP-1405,AG-21,Prospect Services-406,2024-08-25,Lead Qualifié,15000.0,75
OPP-1406,AG-22,Prospect Services-407,2025-07-30,Gagnée (Signée),30000.0,100
OPP-1407,AG-15,Prospect Services-408,2024-12-05,Négociation,15000.0,25
OPP-1408,AG-06,Prospect Services-409,2025-02-04,Proposition Envoyée,75000.0,25
OPP-1409,AG-02,Prospect Industrie-410,2026-07-27,Gagnée (Signée),300000.0,100
OPP-1410,AG-13,Prospect Tech-411,2025-02-19,Négociation,300000.0,75
OPP-1411,AG-15,Prospect Tech-412,2026-02-26,Négociation,15000.0,50
OPP-1412,AG-12,Prospect Industrie-413,2024-10-30,Gagnée (Signée),30000.0,100
OPP-1413,AG-05,Prospect Industrie-414,2024-06-27,Perdue,15000.0,0
OPP-1414,AG-17,Prospect Industrie-415,2026-02-18,Perdue,75000.0,0
OPP-1415,AG-08,Prospect Tech-416,2024-01-17,Lead Qualifié,15000.0,50
OPP-1416,AG-16,Prospect Industrie-417,2024-01-05,Négociation,30000.0,50
OPP-1417,AG-16,Prospect Services-418,2025-09-29,Lead Qualifié,30000.0,50
OPP-1418,AG-09,Prospect Services-419,2024-06-07,Gagnée (Signée),15000.0,100
OPP-1419,AG-01,Prospect Industrie-420,2025-01-08,Gagnée (Signée),30000.0,100
OPP-1420,AG-12,Prospect Tech-421,2026-01-29,Négociation,30000.0,25
OPP-1421,AG-12,Prospect Industrie-422,2025-07-31,Gagnée (Signée),30000.0,100
OPP-1422,AG-13,Prospect Services-423,2024-04-27,Gagnée (Signée),30000.0,100
OPP-1423,AG-05,Prospect Services-424,2024-01-25,Proposition Envoyée,75000.0,50
OPP-1424,AG-13,Prospect Tech-425,2024-12-08,Proposition Envoyée,30000.0,75
OPP-1425,AG-15,Prospect Services-426,2025-02-18,Gagnée (Signée),15000.0,100
OPP-1426,AG-17,Prospect Industrie-427,2024-10-12,Proposition Envoyée,30000.0,25
OPP-1427,AG-19,Prospect Tech-428,2024-07-17,Lead Qualifié,75000.0,25
OPP-1428,AG-14,Prospect Services-429,2026-01-01,Perdue,150000.0,0
OPP-1429,AG-08,Prospect Tech-430,2025-09-19,Proposition Envoyée,300000.0,50
OPP-1430,AG-02,Prospect Industrie-431,2024-06-04,Perdue,30000.0,0
OPP-1431,AG-06,Prospect Services-432,2025-07-26,Négociation,15000.0,25
OPP-1432,AG-07,Prospect Tech-433,2025-05-31,Gagnée (Signée),75000.0,100
OPP-1433,AG-04,Prospect Services-434,2024-09-16,Négociation,30000.0,75
OPP-1434,AG-10,Prospect Industrie-435,2025-07-27,Perdue,15000.0,0
OPP-1435,AG-20,Prospect Industrie-436,2025-10-03,Gagnée (Signée),15000.0,100
OPP-1436,AG-19,Prospect Industrie-437,2024-01-18,Négociation,75000.0,50
OPP-1437,AG-04,Prospect Industrie-438,2025-05-29,Gagnée (Signée),15000.0,100
OPP-1438,AG-07,Prospect Services-439,2024-04-15,Proposition Envoyée,30000.0,50
OPP-1439,AG-22,Prospect Services-440,2024-10-30,Gagnée (Signée),30000.0,100
OPP-1440,AG-20,Prospect Tech-441,2024-02-25,Négociation,75000.0,50
OPP-1441,AG-02,Prospect Tech-442,2024-10-05,Négociation,15000.0,50
OPP-1442,AG-17,Prospect Industrie-443,2025-10-14,Gagnée (Signée),300000.0,100
OPP-1443,AG-19,Prospect Services-444,2026-01-08,Gagnée (Signée),75000.0,100
OPP-1444,AG-11,Prospect Services-445,2024-05-26,Lead Qualifié,30000.0,25
OPP-1445,AG-15,Prospect Industrie-446,2024-01-13,Gagnée (Signée),15000.0,100
OPP-1446,AG-11,Prospect Tech-447,2024-04-25,Proposition Envoyée,15000.0,25
OPP-1447,AG-21,Prospect Services-448,2024-03-09,Négociation,30000.0,50
OPP-1448,AG-01,Prospect Tech-449,2026-05-23,Négociation,30000.0,25
OPP-1449,AG-12,Prospect Services-450,2025-06-21,Négociation,30000.0,75
OPP-1450,AG-11,Prospect Industrie-451,2025-10-12,Gagnée (Signée),30000.0,100
OPP-1451,AG-07,Prospect Services-452,2025-10-27,Gagnée (Signée),75000.0,100
OPP-1452,AG-15,Prospect Industrie-453,2025-10-15,Gagnée (Signée),15000.0,100
OPP-1453,AG-11,Prospect Industrie-454,2024-08-28,Lead Qualifié,15000.0,75
OPP-1454,AG-19,Prospect Tech-455,2026-06-01,Proposition Envoyée,150000.0,50
OPP-1455,AG-17,Prospect Industrie-456,2025-02-15,Gagnée (Signée),30000.0,100
OPP-1456,AG-13,Prospect Industrie-457,2025-02-25,Négociation,30000.0,50
OPP-1457,AG-11,Prospect Services-458,2025-12-23,Proposition Envoyée,75000.0,75
OPP-1458,AG-22,Prospect Services-459,2026-03-24,Négociation,15000.0,50
OPP-1459,AG-15,Prospect Industrie-460,2024-02-28,Négociation,30000.0,50
OPP-1460,AG-01,Prospect Tech-461,2026-07-21,Négociation,300000.0,25
OPP-1461,AG-01,Prospect Services-462,2024-05-21,Proposition Envoyée,75000.0,75
OPP-1462,AG-15,Prospect Tech-463,2024-03-25,Gagnée (Signée),75000.0,100
OPP-1463,AG-19,Prospect Tech-464,2025-12-09,Proposition Envoyée,30000.0,25
OPP-1464,AG-20,Prospect Industrie-465,2024-09-21,Lead Qualifié,300000.0,75
OPP-1465,AG-06,Prospect Tech-466,2024-03-10,Lead Qualifié,75000.0,25
OPP-1466,AG-06,Prospect Services-467,2025-11-19,Négociation,30000.0,75
OPP-1467,AG-20,Prospect Tech-468,2024-10-17,Proposition Envoyée,30000.0,25
OPP-1468,AG-18,Prospect Tech-469,2024-03-27,Proposition Envoyée,150000.0,25
OPP-1469,AG-20,Prospect Services-470,2026-05-25,Perdue,30000.0,0
OPP-1470,AG-02,Prospect Services-471,2025-10-11,Gagnée (Signée),30000.0,100
OPP-1471,AG-11,Prospect Industrie-472,2024-12-05,Proposition Envoyée,30000.0,50
OPP-1472,AG-05,Prospect Industrie-473,2024-01-12,Gagnée (Signée),30000.0,100
OPP-1473,AG-10,Prospect Services-474,2024-04-09,Gagnée (Signée),15000.0,100
OPP-1474,AG-05,Prospect Tech-475,2026-06-03,Proposition Envoyée,15000.0,50
OPP-1475,AG-04,Prospect Industrie-476,2024-06-29,Lead Qualifié,75000.0,25
OPP-1476,AG-19,Prospect Tech-477,2026-02-28,Gagnée (Signée),15000.0,100
OPP-1477,AG-20,Prospect Services-478,2025-03-28,Gagnée (Signée),150000.0,100
OPP-1478,AG-21,Prospect Tech-479,2026-05-13,Perdue,75000.0,0
OPP-1479,AG-06,Prospect Services-480,2025-12-03,Proposition Envoyée,75000.0,75
OPP-1480,AG-01,Prospect Services-481,2025-11-03,Gagnée (Signée),75000.0,100
OPP-1481,AG-17,Prospect Tech-482,2025-01-05,Lead Qualifié,15000.0,25
OPP-1482,AG-11,Prospect Services-483,2025-05-07,Négociation,30000.0,50
OPP-1483,AG-05,Prospect Industrie-484,2026-02-06,Lead Qualifié,15000.0,25
OPP-1484,AG-15,Prospect Tech-485,2025-07-02,Gagnée (Signée),15000.0,100
OPP-1485,AG-12,Prospect Industrie-486,2024-03-09,Négociation,30000.0,50
OPP-1486,AG-13,Prospect Tech-487,2024-09-12,Négociation,75000.0,75
OPP-1487,AG-01,Prospect Industrie-488,2026-02-11,Lead Qualifié,75000.0,25
OPP-1488,AG-02,Prospect Services-489,2025-01-26,Négociation,30000.0,50
OPP-1489,AG-16,Prospect Tech-490,2025-08-02,Lead Qualifié,15000.0,50
OPP-1490,AG-02,Prospect Services-491,2024-12-15,Gagnée (Signée),30000.0,100
OPP-1491,AG-20,Prospect Services-492,2026-01-25,Proposition Envoyée,15000.0,50
OPP-1492,AG-08,Prospect Services-493,2024-02-07,Perdue,75000.0,0
OPP-1493,AG-19,Prospect Services-494,2024-11-21,Lead Qualifié,300000.0,25
OPP-1494,AG-10,Prospect Services-495,2025-10-03,Gagnée (Signée),75000.0,100
OPP-1495,AG-20,Prospect Services-496,2026-07-19,Proposition Envoyée,15000.0,75
OPP-1496,AG-11,Prospect Industrie-497,2024-11-06,Gagnée (Signée),150000.0,100
OPP-1497,AG-01,Prospect Industrie-498,2024-10-01,Proposition Envoyée,30000.0,25
OPP-1498,AG-03,Prospect Industrie-499,2026-02-24,Gagnée (Signée),75000.0,100
OPP-1499,AG-09,Prospect Tech-500,2025-01-28,Perdue,30000.0,0
OPP-1500,AG-19,Prospect Tech-501,2024-09-09,Négociation,150000.0,50
OPP-1501,AG-11,Prospect Tech-502,2026-07-18,Gagnée (Signée),30000.0,100
OPP-1502,AG-09,Prospect Industrie-503,2025-03-15,Proposition Envoyée,30000.0,75
OPP-1503,AG-02,Prospect Industrie-504,2025-10-11,Lead Qualifié,75000.0,25
OPP-1504,AG-06,Prospect Industrie-505,2025-11-02,Gagnée (Signée),30000.0,100
OPP-1505,AG-12,Prospect Industrie-506,2025-12-17,Gagnée (Signée),75000.0,100
OPP-1506,AG-18,Prospect Industrie-507,2025-04-06,Lead Qualifié,150000.0,25
OPP-1507,AG-02,Prospect Tech-508,2025-08-15,Négociation,300000.0,25
OPP-1508,AG-02,Prospect Tech-509,2026-01-24,Lead Qualifié,15000.0,50
OPP-1509,AG-03,Prospect Tech-510,2026-04-10,Proposition Envoyée,15000.0,75
OPP-1510,AG-18,Prospect Tech-511,2024-12-02,Proposition Envoyée,30000.0,75
OPP-1511,AG-12,Prospect Industrie-512,2024-05-14,Négociation,150000.0,25
OPP-1512,AG-16,Prospect Industrie-513,2025-07-27,Proposition Envoyée,15000.0,25
OPP-1513,AG-03,Prospect Industrie-514,2025-03-11,Lead Qualifié,30000.0,75
OPP-1514,AG-12,Prospect Industrie-515,2025-01-08,Négociation,150000.0,75
OPP-1515,AG-05,Prospect Industrie-516,2026-03-15,Gagnée (Signée),150000.0,100
OPP-1516,AG-15,Prospect Services-517,2026-05-25,Perdue,150000.0,0
OPP-1517,AG-06,Prospect Services-518,2024-02-05,Négociation,300000.0,50
OPP-1518,AG-21,Prospect Industrie-519,2026-06-25,Négociation,75000.0,50
OPP-1519,AG-18,Prospect Tech-520,2025-01-24,Proposition Envoyée,30000.0,25
OPP-1520,AG-05,Prospect Industrie-521,2025-04-08,Proposition Envoyée,15000.0,25
OPP-1521,AG-05,Prospect Tech-522,2025-06-04,Lead Qualifié,30000.0,75
OPP-1522,AG-07,Prospect Services-523,2026-02-06,Négociation,150000.0,75
OPP-1523,AG-18,Prospect Services-524,2024-07-19,Proposition Envoyée,15000.0,25
OPP-1524,AG-04,Prospect Industrie-525,2024-05-12,Proposition Envoyée,15000.0,25
OPP-1525,AG-14,Prospect Industrie-526,2025-05-30,Gagnée (Signée),15000.0,100
OPP-1526,AG-02,Prospect Tech-527,2024-07-23,Gagnée (Signée),300000.0,100
OPP-1527,AG-13,Prospect Services-528,2025-05-25,Lead Qualifié,30000.0,50
OPP-1528,AG-22,Prospect Services-529,2024-04-15,Proposition Envoyée,30000.0,25
OPP-1529,AG-04,Prospect Services-530,2026-03-15,Gagnée (Signée),15000.0,100
OPP-1530,AG-19,Prospect Industrie-531,2025-12-02,Négociation,300000.0,50
OPP-1531,AG-01,Prospect Tech-532,2026-07-05,Lead Qualifié,30000.0,75
OPP-1532,AG-14,Prospect Tech-533,2026-08-04,Négociation,30000.0,50
OPP-1533,AG-03,Prospect Services-534,2026-01-14,Gagnée (Signée),150000.0,100
OPP-1534,AG-18,Prospect Services-535,2026-02-07,Proposition Envoyée,15000.0,50
OPP-1535,AG-20,Prospect Services-536,2025-07-24,Gagnée (Signée),30000.0,100
OPP-1536,AG-18,Prospect Services-537,2025-05-28,Proposition Envoyée,15000.0,50
OPP-1537,AG-07,Prospect Tech-538,2025-09-16,Négociation,15000.0,50
OPP-1538,AG-12,Prospect Industrie-539,2025-12-05,Gagnée (Signée),75000.0,100
OPP-1539,AG-11,Prospect Industrie-540,2024-11-02,Proposition Envoyée,150000.0,50
OPP-1540,AG-05,Prospect Industrie-541,2025-03-05,Lead Qualifié,300000.0,75
OPP-1541,AG-08,Prospect Services-542,2025-04-24,Gagnée (Signée),75000.0,100
OPP-1542,AG-09,Prospect Tech-543,2025-11-20,Gagnée (Signée),30000.0,100
OPP-1543,AG-02,Prospect Services-544,2025-03-27,Perdue,30000.0,0
OPP-1544,AG-09,Prospect Industrie-545,2024-09-25,Proposition Envoyée,15000.0,25
OPP-1545,AG-21,Prospect Services-546,2025-02-03,Proposition Envoyée,30000.0,50
OPP-1546,AG-08,Prospect Tech-547,2025-07-28,Négociation,15000.0,75
OPP-1547,AG-15,Prospect Services-548,2024-08-18,Proposition Envoyée,75000.0,50
OPP-1548,AG-02,Prospect Services-549,2025-12-30,Négociation,30000.0,25
OPP-1549,AG-10,Prospect Industrie-550,2026-01-16,Gagnée (Signée),30000.0,100
OPP-1550,AG-10,Prospect Tech-551,2024-01-12,Perdue,30000.0,0
OPP-1551,AG-17,Prospect Tech-552,2026-05-03,Proposition Envoyée,150000.0,50
OPP-1552,AG-02,Prospect Tech-553,2024-10-29,Lead Qualifié,300000.0,25
OPP-1553,AG-11,Prospect Industrie-554,2026-07-12,Négociation,300000.0,75
OPP-1554,AG-04,Prospect Industrie-555,2025-11-21,Proposition Envoyée,300000.0,25
OPP-1555,AG-11,Prospect Services-556,2026-06-13,Proposition Envoyée,15000.0,25
OPP-1556,AG-14,Prospect Services-557,2026-06-09,Proposition Envoyée,15000.0,25
OPP-1557,AG-19,Prospect Services-558,2024-08-05,Lead Qualifié,300000.0,75
OPP-1558,AG-06,Prospect Services-559,2025-06-06,Lead Qualifié,30000.0,75
OPP-1559,AG-22,Prospect Industrie-560,2025-03-13,Lead Qualifié,30000.0,75
OPP-1560,AG-11,Prospect Industrie-561,2025-04-18,Perdue,30000.0,0
OPP-1561,AG-05,Prospect Industrie-562,2025-04-27,Gagnée (Signée),150000.0,100
OPP-1562,AG-08,Prospect Industrie-563,2024-08-03,Proposition Envoyée,150000.0,50
OPP-1563,AG-03,Prospect Industrie-564,2025-12-03,Proposition Envoyée,30000.0,50
OPP-1564,AG-15,Prospect Industrie-565,2026-01-22,Proposition Envoyée,15000.0,50
OPP-1565,AG-02,Prospect Industrie-566,2026-03-16,Gagnée (Signée),30000.0,100
OPP-1566,AG-01,Prospect Industrie-567,2024-03-06,Lead Qualifié,30000.0,50
OPP-1567,AG-12,Prospect Tech-568,2024-12-21,Perdue,15000.0,0
OPP-1568,AG-05,Prospect Services-569,2026-06-04,Gagnée (Signée),150000.0,100
OPP-1569,AG-18,Prospect Services-570,2025-10-05,Gagnée (Signée),15000.0,100
OPP-1570,AG-10,Prospect Tech-571,2026-06-28,Perdue,30000.0,0
OPP-1571,AG-18,Prospect Tech-572,2025-06-29,Négociation,15000.0,25
OPP-1572,AG-10,Prospect Tech-573,2024-12-05,Négociation,15000.0,25
OPP-1573,AG-05,Prospect Tech-574,2026-02-09,Lead Qualifié,15000.0,25
OPP-1574,AG-19,Prospect Industrie-575,2026-02-02,Lead Qualifié,30000.0,50
OPP-1575,AG-07,Prospect Services-576,2025-11-27,Gagnée (Signée),15000.0,100
OPP-1576,AG-10,Prospect Tech-577,2025-08-23,Gagnée (Signée),30000.0,100
OPP-1577,AG-16,Prospect Services-578,2026-04-08,Gagnée (Signée),75000.0,100
OPP-1578,AG-18,Prospect Tech-579,2024-10-21,Lead Qualifié,15000.0,50
OPP-1579,AG-08,Prospect Services-580,2026-07-02,Proposition Envoyée,30000.0,50
OPP-1580,AG-11,Prospect Services-581,2026-03-01,Perdue,15000.0,0
OPP-1581,AG-09,Prospect Services-582,2026-06-14,Proposition Envoyée,75000.0,25
OPP-1582,AG-01,Prospect Industrie-583,2024-01-19,Lead Qualifié,300000.0,25
OPP-1583,AG-05,Prospect Services-584,2024-11-12,Lead Qualifié,30000.0,25
OPP-1584,AG-22,Prospect Industrie-585,2025-04-07,Négociation,150000.0,50
OPP-1585,AG-04,Prospect Tech-586,2026-08-06,Lead Qualifié,15000.0,25
OPP-1586,AG-03,Prospect Tech-587,2026-05-05,Perdue,15000.0,0
OPP-1587,AG-17,Prospect Tech-588,2025-11-08,Perdue,150000.0,0
OPP-1588,AG-09,Prospect Services-589,2024-09-26,Proposition Envoyée,150000.0,75
OPP-1589,AG-22,Prospect Tech-590,2026-03-17,Proposition Envoyée,300000.0,50
OPP-1590,AG-20,Prospect Services-591,2024-09-19,Proposition Envoyée,30000.0,50
OPP-1591,AG-05,Prospect Industrie-592,2025-05-18,Négociation,30000.0,50
OPP-1592,AG-06,Prospect Services-593,2024-10-15,Perdue,30000.0,0
OPP-1593,AG-19,Prospect Industrie-594,2026-02-15,Gagnée (Signée),75000.0,100
OPP-1594,AG-10,Prospect Industrie-595,2024-05-01,Proposition Envoyée,75000.0,50
OPP-1595,AG-07,Prospect Industrie-596,2025-04-01,Négociation,15000.0,50
OPP-1596,AG-02,Prospect Tech-597,2024-05-12,Proposition Envoyée,15000.0,75
OPP-1597,AG-14,Prospect Tech-598,2025-07-08,Lead Qualifié,75000.0,50
OPP-1598,AG-02,Prospect Tech-599,2024-02-04,Proposition Envoyée,30000.0,50
OPP-1599,AG-02,Prospect Industrie-600,2024-12-22,Proposition Envoyée,75000.0,75
OPP-1600,AG-22,Prospect Industrie-601,2025-01-18,Lead Qualifié,15000.0,25
OPP-1601,AG-10,Prospect Industrie-602,2025-07-19,Perdue,30000.0,0
OPP-1602,AG-20,Prospect Industrie-603,2025-02-04,Négociation,75000.0,25
OPP-1603,AG-02,Prospect Services-604,2026-06-14,Lead Qualifié,30000.0,75
OPP-1604,AG-12,Prospect Industrie-605,2025-04-08,Négociation,15000.0,25
OPP-1605,AG-15,Prospect Industrie-606,2024-04-19,Négociation,75000.0,75
OPP-1606,AG-14,Prospect Industrie-607,2024-04-10,Proposition Envoyée,15000.0,50
OPP-1607,AG-02,Prospect Tech-608,2026-05-16,Lead Qualifié,300000.0,25
OPP-1608,AG-18,Prospect Industrie-609,2026-07-08,Lead Qualifié,15000.0,75
OPP-1609,AG-03,Prospect Tech-610,2026-07-07,Proposition Envoyée,300000.0,25
OPP-1610,AG-09,Prospect Tech-611,2025-02-04,Négociation,75000.0,25
OPP-1611,AG-17,Prospect Services-612,2026-05-18,Lead Qualifié,75000.0,75
OPP-1612,AG-02,Prospect Industrie-613,2026-06-18,Proposition Envoyée,15000.0,25
OPP-1613,AG-03,Prospect Services-614,2026-03-11,Proposition Envoyée,30000.0,25
OPP-1614,AG-18,Prospect Tech-615,2024-11-17,Négociation,300000.0,50
OPP-1615,AG-21,Prospect Services-616,2026-02-20,Lead Qualifié,75000.0,25
OPP-1616,AG-17,Prospect Services-617,2024-12-26,Proposition Envoyée,300000.0,25
OPP-1617,AG-19,Prospect Services-618,2025-03-15,Gagnée (Signée),30000.0,100
OPP-1618,AG-15,Prospect Tech-619,2024-03-11,Gagnée (Signée),15000.0,100
OPP-1619,AG-06,Prospect Industrie-620,2024-05-08,Gagnée (Signée),15000.0,100
OPP-1620,AG-06,Prospect Services-621,2024-09-30,Négociation,15000.0,25
OPP-1621,AG-03,Prospect Services-622,2024-09-15,Négociation,75000.0,75
OPP-1622,AG-07,Prospect Services-623,2024-12-19,Négociation,30000.0,75
OPP-1623,AG-21,Prospect Industrie-624,2026-06-15,Lead Qualifié,15000.0,75
OPP-1624,AG-11,Prospect Industrie-625,2025-02-19,Gagnée (Signée),75000.0,100
OPP-1625,AG-02,Prospect Industrie-626,2025-12-13,Proposition Envoyée,75000.0,50
OPP-1626,AG-05,Prospect Tech-627,2024-01-23,Gagnée (Signée),30000.0,100
OPP-1627,AG-01,Prospect Services-628,2025-11-02,Proposition Envoyée,75000.0,50
